trip,walk_distance,travel_time,boardings
901001,920.146015029333,1078,1
901002,1350.3716466081955,1578,1
902001,642.3904210504239,616,1
902002,1210.4431202943592,945,0
1601001,619.0894285642836,1039,1
1601002,604.088270673198,1452,2
1603001,449.895789469948,775,1
1603002,893.1056466130357,1181,1
3401001,1656.1812556357982,1277,0
3401002,1656.1846390943356,1277,0
3501001,412.6994586423102,1274,1
3501002,900.6820150325599,700,0
3501003,620.0093007496113,1221,1
4701001,285.51495488618696,221,0
4701002,285.51683458537445,221,0
5602001,758.8324661593969,1039,1
5602002,743.8411804471855,1190,1
6001001,362.9663082650846,296,0
6001002,211.16416541301223,651,1
6001003,738.3287669154614,737,1
6001004,765.8133533821243,588,0
6001005,1073.6556541268956,848,0
6001006,236.1335488699363,911,2
6701001,143.862,1422,2
6701002,274.60329323091133,1988,2
6701003,822.1690300731865,631,0
6702001,512.6559924780734,955,1
6702002,603.8632255626118,466,0
6702003,1132.5404135301108,1170,1
7001001,1630.1907669138484,6747,4
7001002,476.60032330409774,1647,1
7001003,642.455172930099,889,1
7001004,931.3680601479861,1380,1
7003001,2268.666037587047,2219,1
7003002,785.4853984927105,1272,1
7801001,1026.6431578862453,1310,1
7801002,error,404,PATH_NOT_FOUND
7801003,error,404,PATH_NOT_FOUND
9201001,748.0638796878939,618,0
9201002,282.4763684179108,495,1
9201003,992.0415864602093,782,0
9202002,282.4763684179108,495,1
9202003,992.0415864602093,782,0
9402001,1971.9514511236107,1535,0
9402002,1971.9435563870234,1534,0
9402003,1971.9514511236107,1535,0
9402004,1971.9435563870234,1534,0
10502003,184.65200000000002,1158,2
10502004,1959.60294735458,1546,0
10701001,267.58329323091135,1217,2
10701002,1444.819308263471,1350,1
12001001,1504.2358421008478,1163,0
12001004,1489.8734436032967,1161,0
12004001,1209.2714511219967,1016,1
12004002,1668.0944586406965,1300,0
12005001,1504.2358421008478,1163,0
12005003,959.1447443561347,833,1
12501001,634.0201052585725,499,0
12501002,634.0287518748348,500,0
12501003,395.3339398455604,417,1
12502001,634.0201052585725,499,0
12502004,205.98107518699948,161,0
12801001,440.621323300871,855,1
12801002,583.5666090146957,1031,1
13301001,378.7047142845619,293,0
13301003,273.9748796959608,221,0
13901001,374.77902254964636,800,1
13901002,566.372563902496,1015,1
14902003,782.150578944736,1782,2
14902004,761.1237293171217,1022,1
14902005,1014.3073082666979,790,0
14902006,939.6285563870229,916,1
14902007,error,404,PATH_NOT_FOUND
15901001,1526.0285939756823,1200,0
15901002,439.4474135284971,673,1
15902001,1526.0285939756823,1200,0
15902002,439.4474135284971,673,1
16001001,602.9480601479862,471,0
16001002,603.4094436065237,470,0
16001003,811.7787368390483,954,1
16001004,1329.7038721740344,1039,0
16001005,969.0998571366341,757,0
16001006,969.1066240537093,757,0
16001007,1329.7016165350094,1039,0
16001008,error,404,PATH_NOT_FOUND
17102001,1544.2186014959957,1321,1
17102003,341.5977669122348,1592,2
17102004,467.3213233024845,1826,2
17102002,692.5410150293328,1890,2
18601001,1555.7240375886595,1210,0
18601002,412.95428571221134,1550,2
18601003,463.4245037561233,1270,2
18602001,1555.7240375886595,1210,0
19001001,743.5747669106215,1779,2
19001002,443.58489473336067,1903,2
19001003,197.13142104881047,1501,2
19001004,2704.7331353301447,2726,1
19002001,355.8427518764483,1986,2
19002002,280.71543608621033,2527,2
19902001,914.9513759349974,1467,1
19902002,1600.6481127772727,2249,1
20701003,1249.407436084597,980,0
20704001,1213.6212631512717,949,0
20704002,780.3184436016836,888,1
21801001,375.02066165043556,665,1
21801002,1585.454721795195,1249,0
21802001,1327.445879692734,1037,0
21802002,1327.4488872114339,1037,0
22202001,728.1227368374349,1107,1
22202002,869.7910150341733,1340,1
23101001,469.7189473642602,1233,2
23101002,498.6979323268604,1749,2
23101003,1037.6235338309232,1144,1
23101004,error,406,NO_TRANSIT_TIMES
23401001,942.868796988648,1289,1
23401002,691.0966842049219,1142,1
23401003,1070.5031202975858,832,0
23401004,1070.5034962374236,832,0
23401005,1070.5031202975858,832,0
23402001,1113.0116616504356,2441,1
23402002,2223.7290826992466,3169,1
23402003,1113.0116616504356,2441,1
23402004,1112.6231804471852,2686,1
23501003,error,404,PATH_NOT_FOUND
23501004,error,404,PATH_NOT_FOUND
23501005,1600.2852481122582,1248,0
23601001,605.829631577249,2244,2
23601002,541.966646614649,416,0
23601003,635.6343383447244,484,0
23601004,381.5893458634243,645,2
23601005,456.1168947333606,1957,2
23601006,578.4139022520607,1094,2
23601007,454.279285705758,1378,2
23601008,454.4198421008477,360,0
23602001,549.0595413480097,2218,3
23602002,1316.3134060114107,1619,1
23602003,461.0789172894605,1431,2
23603001,549.0595413480097,2218,3
23603002,456.1168947333606,1957,2
24201001,969.0447443593616,1052,1
24201002,621.8590902211727,1111,2
26201001,1682.0336992407088,1309,0
26201002,1682.0336992407085,1309,0
